Center,Item,Min Price,Max Price,Total Arrival,Year,Month,Min Temp,Max Temp,Wind Speed( ),RainFall(   ),Humidity( ),Cloud( ),Pressure(  ),Yield
Chennai ,Onion,1902,3089,12860,2010,1,24,27,19,0.7,75,24,1012,0
Chennai ,Onion,1589,2409,11570,2010,2,28,24,9,0,73,1,1015,1
Chennai ,Onion,1122,1968,12680,2010,3,25,31,12,0,70,0,1013,1
Chennai ,Onion,820,1387,11780,2010,4,30,36,21,0,70,6,1008,1
Chennai ,Onion,833,1463,12320,2010,5,33,29,12,3.6,73,38,1010,1
Chennai ,Onion,994,1585,13650,2010,6,31,38,19,0.7,61,6,1005,0
Chennai ,Onion,1028,1655,13670,2010,7,29,33,16,3.3,66,37,1003,0
Chennai ,Onion,1175,1821,12340,2010,8,33,28,15,1.3,66,39,1006,0
Chennai ,Onion,1496,2209,10990,2010,9,26,31,13,6.1,74,19,1007,1
Chennai ,Onion,1992,2650,10900,2010,10,27,31,9,10.2,76,29,1006,1
Chennai ,Onion,2709,3483,10040,2010,11,25,29,7,38.6,82,57,1006,1
Chennai ,Onion,3638,4975,10600,2010,12,26,28,17,79.3,84,47,1009,1
Chennai ,Onion,3924,5408,11250,2011,1,27,24,24,9.3,81,70,1010,1
Chennai ,Onion,1589,3530,12850,2011,2,28,23,19,0,77,22,1013,1
Chennai ,Onion,880,1556,14480,2011,3,25,30,15,0,69,7,1012,0
Chennai ,Onion,1010,1500,10580,2011,4,26,34,19,0,72,4,1008,1
Chennai ,Onion,926,1320,13710,2011,5,33,29,12,0.6,76,4,1007,0
Chennai ,Onion,1056,1504,11860,2011,6,30,36,19,6.9,68,17,1003,1
Chennai ,Onion,1165,1663,12710,2011,7,29,34,15,1.6,66,34,1004,0
Chennai ,Onion,1388,1945,16425,2011,8,33,28,16,0.4,64,40,1004,0
Chennai ,Onion,1441,2002,16410,2011,9,28,31,20,2.4,75,39,1004,0
Chennai ,Onion,1476,2039,11765,2011,10,28,33,10,1.1,71,11,1007,1
Chennai ,Onion,1422,1978,10861,2011,11,27,28,12,28.2,78,72,1009,1
Chennai ,Onion,1372,1708,13489,2011,12,25,28,9,0.1,74,10,1010,0
Chennai ,Onion,894,1406,18180,2012,1,27,23,17,0.4,75,42,1013,0
Chennai ,Onion,890,1333,12570,2012,2,27,23,19,0,71,11,1014,1
Chennai ,Onion,804,1208,17850,2012,3,26,32,20,0,77,4,1007,0
Chennai ,Onion,821,1650,12090,2012,4,27,32,16,0,72,19,1011,1
Chennai ,Onion,777,1204,14170,2012,5,34,29,21,3.8,73,18,1005,0
Chennai ,Onion,894,1377,11910,2012,6,31,38,15,0,55,23,1001,1
Chennai ,Onion,1035,1550,11992,2012,7,29,34,18,6.4,60,47,1002,0
Chennai ,Onion,1146,1575,10910,2012,8,35,29,19,0,54,12,1006,1
Chennai ,Onion,1122,1600,11270,2012,9,28,33,20,7,66,26,1005,1
Chennai ,Onion,1261,1739,10680,2012,10,27,33,11,14,76,47,1007,1
Chennai ,Onion,1921,2408,10620,2012,11,26,30,28,7.7,77,55,1005,1
Chennai ,Onion,1941,2471,8130,2012,12,24,28,13,0,70,24,1011,1
Chennai ,Onion,1959,2545,11670,2013,1,28,24,17,0,76,18,1012,1
Chennai ,Onion,2044,2876,13110,2013,2,27,23,16,0,67,7,1015,1
Chennai ,Onion,1513,2187,12740,2013,3,25,29,13,0,69,0,1012,1
Chennai ,Onion,1410,2042,11990,2013,4,27,33,20,0,71,2,1008,1
Chennai ,Onion,1431,2000,14350,2013,5,33,28,18,0,70,5,1006,0
Chennai ,Onion,1852,2416,11990,2013,6,29,33,13,7.9,70,43,1004,1
Chennai ,Onion,2756,3433,11940,2013,7,30,34,14,7.1,60,47,1004,0
Chennai ,Onion,4529,5700,11010,2013,8,33,28,25,0,56,42,1003,1
Chennai ,Onion,5204,6563,11350,2013,9,27,32,14,0.5,75,12,1007,1
Chennai ,Onion,4676,5928,11180,2013,10,27,33,13,7,72,33,1005,1
Chennai ,Onion,4692,5675,10980,2013,11,26,30,16,4.7,79,29,1011,1
Chennai ,Onion,2560,3656,11470,2013,12,25,29,15,15.5,78,27,1012,1
Chennai ,Onion,1471,2371,16510,2014,1,24,27,21,1.2,75,52,1014,0
Chennai ,Onion,1300,1942,12520,2014,2,24,27,19,5.7,77,47,1014,1
Chennai ,Onion,1280,1848,12650,2014,3,24,28,13,0,76,23,1012,1
Chennai ,Onion,1323,1900,10590,2014,4,26,34,18,0,60,0,1007,1
Chennai ,Onion,1640,2232,15662,2014,5,34,29,19,0,71,23,1008,0
Chennai ,Onion,2292,2968,12530,2014,6,31,36,19,0,70,9,1003,1
Chennai ,Onion,2988,3785,12880,2014,7,30,35,19,0,63,30,1005,0
Chennai ,Onion,2691,4865,10283,2014,8,34,28,16,2.9,62,41,1004,1
Chennai ,Onion,2396,3126,12720,2014,9,28,33,18,9.5,63,29,1003,1
Chennai ,Onion,2335,2948,10610,2014,10,27,31,10,0,74,17,1010,1
Chennai ,Onion,2400,3060,12780,2014,11,27,29,28,2.6,71,56,1010,0
Chennai ,Onion,2404,3008,11710,2014,12,26,28,22,0,67,23,1011,1
Chennai ,Onion,2132,2924,11440,2015,1,28,24,13,0.7,76,8,1013,1
Chennai ,Onion,2231,3100,18750,2015,2,27,23,16,16,73,40,1015,0
Chennai ,Onion,2116,2824,13200,2015,3,25,29,18,0.5,76,37,1011,1
Chennai ,Onion,1878,2635,16820,2015,4,28,31,17,0,72,20,1010,0
Chennai ,Onion,2023,2754,13555,2015,5,34,30,24,0,69,3,1008,0
Chennai ,Onion,2519,3412,13350,2015,6,30,32,16,3.1,64,48,1005,0
Chennai ,Onion,2671,3833,12600,2015,7,29,34,17,0.8,66,24,1008,0
Chennai ,Onion,4920,6144,13260,2015,8,32,29,14,6.5,68,32,1008,0
Chennai ,Onion,5326,9148,12180,2015,9,27,31,14,3,73,59,1006,1
Chennai ,Onion,3804,7113,11170,2015,10,28,30,13,2,72,28,1010,1
Chennai ,Onion,3653,4840,26180,2015,11,27,30,9,23.7,74,53,1011,0
Chennai ,Onion,2486,3627,11220,2015,12,26,26,21,156.9,88,88,1012,1
Chennai ,Onion,2086,3218,11860,2016,1,28,24,14,0,66,11,1016,1
Chennai ,Onion,1786,2739,15760,2016,2,29,25,8,0,65,0,1014,0
Chennai ,Onion,1321,2089,14465,2016,3,26,30,11,0.2,72,44,1014,0
Chennai ,Onion,1352,2804,11430,2016,4,27,32,19,0,74,16,1010,1
Chennai ,Onion,1376,2016,12505,2016,5,34,29,22,0,69,0,1008,1
Chennai ,Onion,1589,2341,14350,2016,6,30,34,16,0.6,67,40,1004,0
Chennai ,Onion,1579,2400,12240,2016,7,28,34,18,0.1,63,34,1004,0
Chennai ,Onion,1520,2288,13210,2016,8,32,27,17,7.3,66,34,1006,0
Chennai ,Onion,1345,2255,13870,2016,9,38,32,13,13.4,72,46,1007,0
Chennai ,Onion,1216,2168,14290,2016,10,28,32,11,6.8,75,27,1006,0
Chennai ,Onion,1343,2257,15320,2016,11,27,30,18,3.6,75,45,1011,0
Chennai ,Onion,1464,2488,12450,2016,12,25,27,24,39.9,81,56,1010,0
Chennai ,Onion,1276,2112,13820,2017,1,27,23,12,0,66,4,1011,0
Chennai ,Onion,1052,1974,14710,2017,2,28,23,9,0,67,0,1014,1
Chennai ,Onion,1096,1928,15040,2017,3,25,29,12,0,68,0,1012,0
Chennai ,Onion,1200,2023,11240,2017,4,27,33,19,0,72,1,1011,1
Chennai ,Onion,1018,1728,13680,2017,5,28,33,21,0,73,11,1010,0
Chennai ,Onion,1183,1969,13460,2017,6,30,35,18,0.8,65,9,1004,0
Chennai ,Onion,1152,2035,13340,2017,7,30,35,14,1.6,62,50,1005,0
Chennai ,Onion,2336,3712,12440,2017,8,34,29,15,0.6,68,27,1007,0
Chennai ,Onion,1793,3057,14920,2017,9,29,33,9,3.6,68,38,1007,0
Chennai ,Onion,2896,4208,11830,2017,10,28,32,13,22,75,37,1007,0
Chennai ,Onion,4106,5336,10900,2017,11,26,28,23,64.6,83,72,1011,1
Chennai ,Onion,4229,5568,12990,2017,12,26,28,25,16.9,80,57,1011,0
Chennai ,Onion,4096,5384,17650,2018,1,27,23,14,0,59,0,1012,0
Chennai ,Onion,2329,3583,18690,2018,2,28,23,8,0,54,0,1014,0
Chennai ,Onion,1502,2400,12990,2018,3,26,30,8,0,69,0,1011,1
Chennai ,Onion,1179,2000,12020,2018,4,27,31,18,0,79,5,1009,1
Chennai ,Onion,1180,1970,14720,2018,5,29,34,24,0.1,74,6,1006,0
Chennai ,Onion,1412,2362,13480,2018,6,31,34,14,2.2,71,13,1004,0
Chennai ,Onion,1893,2750,13085,2018,7,29,32,11,0.4,68,31,1006,0
Chennai ,Onion,1833,2742,13230,2018,8,33,29,17,0.1,64,32,1006,0
Chennai ,Onion,1573,2450,12980,2018,9,28,33,16,4.6,68,43,1007,0
Chennai ,Onion,1773,2704,13460,2018,10,29,31,10,7.4,72,21,1009,0
Chennai ,Onion,1823,2668,12290,2018,11,26,29,11,19,77,54,1010,1
Chennai ,Onion,1538,2373,15730,2018,12,25,28,14,0.1,68,9,1013,0
Chennai ,Onion,1252,1965,13120,2019,1,26,23,15,0.2,74,25,1014,0
Chennai ,Onion,961,1774,13070,2019,2,27,24,16,0,68,24,1015,1
Chennai ,Onion,979,1819,11530,2019,3,26,29,16,1.8,80,29,1010,1
Chennai ,Onion,1209,2017,12470,2019,4,28,33,23,0,72,0,1010,0
Chennai ,Onion,1296,2222,14680,2019,5,29,35,16,5.1,68,31,1004,0
Chennai ,Onion,1779,2808,11770,2019,6,31,36,25,2.6,68,8,1004,1
Chennai ,Onion,1944,3830,12180,2019,7,29,33,15,0.3,66,28,1003,0
Chennai ,Onion,2296,3229,10470,2019,8,32,28,20,6.3,68,26,1006,1
Chennai ,Onion,3617,4925,11403,2019,9,27,30,12,23.5,77,58,1005,1
Chennai ,Onion,3600,4967,12720,2019,10,26,31,15,0,77,11,1011,0
Chennai ,Onion,6177,7969,13430,2019,11,26,30,9,0.1,76,17,1011,0
Chennai ,Onion,9931,13444,12642,2019,12,25,27,15,65.9,87,75,1012,0
Chennai ,Onion,4893,7339,15540,2020,1,27,25,23,6.3,78,73,1014,0
Chennai ,Onion,2842,4275,23820,2020,2,28,25,14,0,70,15,1012,0
Chennai ,Onion,2005,3232,9970,2020,3,25,29,12,0,63,2,1012,1
Chennai ,Onion,0,0,0,2020,4,26,31,17,0,70,2,1010,1
Chennai ,Onion,0,0,0,2020,5,28,33,21,0,73,12,1008,1
Chennai ,Onion,0,0,0,2020,6,29,33,30,0,72,16,1007,1
Chennai ,Onion,0,0,0,2020,7,26,32,15,33.3,72,68,1004,1
Chennai ,Onion,0,0,0,2020,8,29,23,16,7.3,76,71,1004,1
Chennai ,Onion,0,0,0,2020,9,28,32,10,3.7,70,67,1006,1
Chennai ,Onion,0,0,0,2020,10,22,30,15,1.2,74,58,1005,1
Chennai ,Onion,0,0,0,2020,11,26,30,11,0,69,17,1010,1
Chennai ,Onion,0,0,0,2020,12,25,27,24,0.2,74,42,1013,1
Chennai ,Onion,3267,5000,1580,2021,1,27,25,25,11.1,83,74,1009,1
Chennai ,Onion,4165,5804,10300,2021,2,28,36,18,0,72,8,1015,1
Chennai ,Onion,2368,3676,13990,2021,3,23,28,14,0,70,0,1011,0
Chennai ,Onion,1433,2462,12130,2021,4,28,28,24,0,67,0,1003,0
Chennai ,Onion,1425,2475,2100,2021,5,28,32,21,0,69,15,1008,1
Chennai ,Onion,0,0,0,2021,6,30,34,17,0,64,15,1004,0
Chennai ,Onion,2100,3500,1020,2021,7,25,29,14,26.8,74,72,1005,1
Chennai ,Onion,2261,3491,11780,2021,8,34,28,18,0.2,56,67,1005,1
Chennai ,Onion,1892,3060,13465,2021,9,28,33,13,1,67,68,1006,0
Chennai ,Onion,2786,4171,10860,2021,10,27,32,10,1.4,71,51,1007,0
Chennai ,Onion,2980,4400,2630,2021,11,27,30,13,7.1,77,68,1010,1
Ahmedabad,Onion,1188,1826,5020,2010,1,16,30,13,0,35,2,1014,1
Ahmedabad,Onion,1041,1565,6345,2010,2,16,34,8,0,23,3,1014,1
Ahmedabad,Onion,748,1217,6905,2010,3,20,38,7,0,18,2,1012,1
Ahmedabad,Onion,525,965,9965,2010,4,24,40,13,0,44,2,1008,1
Ahmedabad,Onion,486,825,5696,2010,5,29,44,9,0,22,1,1009,1
Ahmedabad,Onion,565,978,11844,2010,6,31,44,15,0,37,19,1006,0
Ahmedabad,Onion,674,1135,11653,2010,7,31,42,16,0,49,23,1000,1
Ahmedabad,Onion,810,1250,6503,2010,8,26,32,6,2.2,80,62,1002,1
Ahmedabad,Onion,1230,1779,8125,2010,9,25,31,12,3.2,86,61,1003,1
Ahmedabad,Onion,1464,1982,5636,2010,10,24,37,9,0,44,3,1008,1
Ahmedabad,Onion,1665,2333,4943,2010,11,22,35,12,0,35,1,1011,1
Ahmedabad,Onion,2282,3468,5122,2010,12,21,32,9,0,53,0,1011,1
Ahmedabad,Onion,2232,3436,5354,2011,1,12,26,13,0,30,0,1013,1
Ahmedabad,Onion,915,1405,8292,2011,2,16,33,12,0,36,0,1014,1
Ahmedabad,Onion,457,931,8886,2011,3,20,36,11,0,23,6,1011,1
Ahmedabad,Onion,416,777,7820,2011,4,23,40,10,0,33,1,1009,1
Ahmedabad,Onion,385,802,7381,2011,5,29,45,12,0,31,5,1006,1
Ahmedabad,Onion,463,908,9523,2011,6,31,41,19,0.9,44,13,1001,1
Ahmedabad,Onion,621,1142,9392,2011,7,29,35,20,0.4,55,62,1001,1
Ahmedabad,Onion,740,1325,8446,2011,8,26,33,12,6.2,79,75,1000,1
Ahmedabad,Onion,793,1520,8918,2011,9,26,31,7,86.3,91,63,999,1
Ahmedabad,Onion,734,1235,6362,2011,10,26,33,8,0,67,9,1009,1
Ahmedabad,Onion,731,1270,8107,2011,11,23,34,12,0,36,29,1011,1
Ahmedabad,Onion,535,1092,9241,2011,12,21,34,12,0,28,1,1011,1
Ahmedabad,Onion,404,872,8119,2012,1,15,26,15,0,44,0,1014,1
Ahmedabad,Onion,341,713,10773,2012,2,13,27,17,0,27,1,1018,1
Ahmedabad,Onion,415,800,10975,2012,3,18,31,10,0,41,0,1008,1
Ahmedabad,Onion,435,791,5838,2012,4,27,42,13,0,20,7,1010,1
Ahmedabad,Onion,378,808,5549,2012,5,28,42,10,0,23,0,1004,1
Ahmedabad,Onion,468,886,5032,2012,6,29,41,18,0,43,1,1002,1
Ahmedabad,Onion,588,913,5681,2012,7,31,39,12,2.6,52,27,999,1
Ahmedabad,Onion,678,990,5116,2012,8,27,32,17,1.6,72,84,1003,1
Ahmedabad,Onion,629,957,3558,2012,9,27,35,8,9,79,39,1001,1
Ahmedabad,Onion,740,1183,5779,2012,10,25,37,10,0,48,9,1008,1
Ahmedabad,Onion,856,1613,3421,2012,11,21,33,18,0,32,0,1011,1
Ahmedabad,Onion,944,1754,3217,2012,12,17,30,14,0,32,1,1012,1
Ahmedabad,Onion,1280,1805,8630,2013,1,16,29,10,0,36,0,1011,1
Ahmedabad,Onion,1301,1975,14417,2013,2,18,33,10,0,32,4,1013,0
Ahmedabad,Onion,958,1505,12995,2013,3,18,33,17,0,16,1,1016,1
Ahmedabad,Onion,834,1277,15383,2013,4,26,41,11,0,20,0,1008,0
Ahmedabad,Onion,719,1205,14114,2013,5,31,44,14,0,14,0,1005,0
Ahmedabad,Onion,1206,1696,12582,2013,6,30,42,14,0.1,40,9,1002,0
Ahmedabad,Onion,2044,2559,11588,2013,7,29,36,13,15.3,63,66,1000,1
Ahmedabad,Onion,3430,4191,7644,2013,8,27,29,11,4.8,86,82,999,1
Ahmedabad,Onion,4349,5164,6877,2013,9,26,33,10,0.3,71,49,1007,1
Ahmedabad,Onion,3450,5152,13009,2013,10,25,32,9,1.4,79,52,1005,0
Ahmedabad,Onion,3061,4271,9723,2013,11,24,36,4,0,46,0,1013,1
Ahmedabad,Onion,1530,1845,10534,2013,12,19,34,10,0,31,0,1014,0
Ahmedabad,Onion,1083,1450,12719,2014,1,14,26,18,0,47,23,1017,0
Ahmedabad,Onion,728,1229,14512,2014,2,17,31,13,0,29,3,1015,0
Ahmedabad,Onion,808,1292,17399,2014,3,18,30,12,0,23,0,1014,0
Ahmedabad,Onion,785,1265,13171,2014,4,25,38,15,0,29,0,1008,0
Ahmedabad,Onion,860,1465,13814,2014,5,28,43,15,0,21,1,1007,0
Ahmedabad,Onion,1162,1804,14773,2014,6,31,44,11,0,39,1,1004,0
Ahmedabad,Onion,1732,2381,10375,2014,7,30,36,19,0.1,52,51,1005,1
Ahmedabad,Onion,1459,2096,10151,2014,8,27,34,14,2.2,77,64,1000,1
Ahmedabad,Onion,1360,1988,13717,2014,9,28,34,6,24.8,76,43,998,0
Ahmedabad,Onion,1460,2041,13446,2014,10,28,38,3,0.3,52,11,1011,0
Ahmedabad,Onion,1436,2273,13326,2014,11,23,36,11,0,33,4,1012,0
Ahmedabad,Onion,1453,2184,12371,2014,12,21,32,6,0,38,4,1014,0
Ahmedabad,Onion,1359,2317,13405,2015,1,15,27,20,1.6,62,11,1011,0
Ahmedabad,Onion,1569,2300,13009,2015,2,18,31,10,0,26,0,1014,1
Ahmedabad,Onion,1389,2285,11983,2015,3,20,28,29,11.2,57,22,1007,1
Ahmedabad,Onion,1099,2300,14303,2015,4,26,39,14,0,24,1,1008,0
Ahmedabad,Onion,1140,2300,13349,2015,5,30,43,14,0,32,0,1007,0
Ahmedabad,Onion,1582,2486,11567,2015,6,31,44,20,0,35,1,1002,0
Ahmedabad,Onion,1957,3375,11451,2015,7,30,38,23,0.1,50,46,1006,1
Ahmedabad,Onion,3838,5571,7103,2015,8,26,30,23,0.9,80,82,1006,1
Ahmedabad,Onion,4180,6762,7425,2015,9,26,32,10,4.7,78,57,1004,1
Ahmedabad,Onion,2757,5958,13974,2015,10,27,39,10,0,33,0,1011,0
Ahmedabad,Onion,1881,4023,17691,2015,11,21,33,14,0,45,3,1013,0
Ahmedabad,Onion,1283,2889,17078,2015,12,23,34,9,0,29,5,1014,0
Ahmedabad,Onion,942,2250,19722,2016,1,21,33,11,0,27,0,1018,0
Ahmedabad,Onion,741,1960,17281,2016,2,20,34,10,0,42,0,1015,0
Ahmedabad,Onion,748,2000,15928,2016,3,24,39,12,0,18,4,1012,0
Ahmedabad,Onion,768,1926,20460,2016,4,26,39,12,0,34,9,1009,0
Ahmedabad,Onion,618,1608,16673,2016,5,31,42,12,0,26,2,1006,0
Ahmedabad,Onion,753,1992,16885,2016,6,30,42,15,0,42,6,1004,0
Ahmedabad,Onion,782,2000,16566,2016,7,30,38,16,0.2,59,45,1000,0
Ahmedabad,Onion,680,1985,19736,2016,8,26,34,16,10.3,75,81,1002,0
Ahmedabad,Onion,507,1644,19011,2016,9,26,32,10,1.8,77,74,1005,0
Ahmedabad,Onion,697,1739,16302,2016,10,26,34,12,0.8,63,32,1006,0
Ahmedabad,Onion,832,1899,16392,2016,11,21,33,11,0,29,0,1015,0
Ahmedabad,Onion,749,1931,19092,2016,12,22,35,8,0,31,0,1014,0
Ahmedabad,Onion,717,1536,18887,2017,1,18,33,8,0,37,0,1014,0
Ahmedabad,Onion,650,1500,16713,2017,2,18,34,7,0,29,0,1014,0
